Travel Distance from Home to Curioo Center
2.7
4
6
10.3
7.5
8.2
5.2
2.8
5.7
3.1
2.8
3.7
3.7
3
4.7
6.7
3.3
7.2
8.9
7.3
3.1
5
3
1.8
2.9
3.1
4.3
3.8
3.1
8.7
3
4.8
2.4
5.3
4.1
9
3.1
3.3
8
6
2.6
5
4.5
2.2
1.9
9.3
5.3
5.3
3.1
4.9
15.3
5.2
